anno,film,nazione,prize_share,note
1946,L'uomo del Sud,Stati Uniti,1.0,
1947,Sirena,Cecoslovacchia,1.0,
1948,Amleto,Regno Unito,1.0,
1949,Manon,Francia,1.0,
1950,Giustizia è fatta,Francia,1.0,
1951,Rashomon,Giappone,1.0,
1952,Giochi proibiti,Francia,1.0,
1954,Giulietta e Romeo,Italia,1.0,
1955,Ordet - La parola,Danimarca,1.0,
1957,Aparajito,India,1.0,
1958,L'uomo del risciò,Giappone,1.0,
1959,La grande guerra,Italia,1.0,
1959,Il generale Della Rovere,Italia,1.0,
1960,Il passaggio del Reno,Francia,1.0,
1961,L'anno scorso a Marienbad,Francia,1.0,
1962,L'infanzia di Ivan,URSS,1.0,
1962,Cronaca familiare,Italia,1.0,
1963,Le mani sulla città,Italia,1.0,
1964,Deserto rosso,Italia,1.0,
1965,Vaghe stelle dell'Orsa...,Italia,1.0,
1966,La battaglia di Algeri,Italia,0.5,
1966,La battaglia di Algeri,Algeria,0.5,
1967,Bella di giorno,Francia,1.0,
1968,Artisti sotto la tenda del circo: perplessi,Germania Ovest,1.0,
1980,"Atlantic City, USA",Stati Uniti,1.0,
1980,Una notte d'estate - Gloria,Stati Uniti,1.0,
1981,Anni di piombo,Germania Ovest,1.0,
1982,Lo stato delle cose,Germania Ovest,1.0,
1983,Prénom Carmen,Francia,1.0,
1984,L'anno del sole quieto,Polonia,1.0,
1985,Senza tetto né legge,Francia,1.0,
1986,Il raggio verde,Francia,1.0,
1987,Arrivederci ragazzi,Francia,1.0,
1988,La leggenda del santo bevitore,Italia,1.0,
1989,Città dolente,Taiwan,1.0,
1990,Rosencrantz e Guildenstern sono morti,Regno Unito,1.0,
1991,Urga - Territorio d'amore,URSS,1.0,
1992,La storia di Qiu Ju,Cina,1.0,
1993,America oggi,Stati Uniti,1.0,
1993,Tre colori - Film blu,Francia,0.5,
1993,Tre colori - Film blu,Polonia,0.5,
1994,Vive L'Amour,Taiwan,1.0,
1994,Prima della pioggia,Macedonia,1.0,
1995,Cyclo,Vietnam,1.0,
1996,Michael Collins,Regno Unito,1.0,
1997,Hana-bi - Fiori di fuoco,Giappone,1.0,
1998,Così ridevano,Italia,1.0,
1999,Non uno di meno,Cina,1.0,
2000,Il cerchio,Iran,1.0,
2001,Monsoon Wedding - Matrimonio indiano,India,1.0,
2002,Magdalene,Irlanda,1.0,
2003,Il ritorno,Russia,1.0,
2004,Il segreto di Vera Drake,Regno Unito,1.0,
2005,I segreti di Brokeback Mountain,Stati Uniti,1.0,
2006,Still Life,Cina,1.0,
2007,Lussuria - Seduzione e tradimento,Stati Uniti,0.33,
2007,Lussuria - Seduzione e tradimento,Cina,0.33,
2007,Lussuria - Seduzione e tradimento,Taiwan,0.33,
2008,The Wrestler,Stati Uniti,1.0,
2009,Lebanon,Israele,1.0,
2010,Somewhere,Stati Uniti,1.0,
2011,Faust,Russia,1.0,
2012,Pietà,Corea del Sud,1.0,
2013,Sacro GRA,Italia,1.0,
2014,Un piccione seduto su un ramo riflette sull'esistenza,Svezia,1.0,
2015,Ti guardo,Venezuela,1.0,
2016,The Woman Who Left - La donna che se ne è andata,Filippine,1.0,
2017,La forma dell'acqua - The Shape of Water,Stati Uniti,1.0,
2018,Roma,Messico,1.0,
