Anno,Film,Regista,Paese
1946,L'uomo del Sud (The Southerner),Jean Renoir,Stati Uniti
1947,Sirena (Siréna),Karel Steklý,Cecoslovacchia
1948,Amleto (Hamlet),Laurence Olivier,Regno Unito
1949,Manon,Henri-Georges Clouzot,Francia
1950,Giustizia è fatta (Justice est faite),André Cayatte,Francia
1951,Rashomon (Rashômon),Akira Kurosawa,Giappone
1952,Giochi proibiti (Jeux interdits),René Clément,Francia
1954,Giulietta e Romeo,Renato Castellani,Italia
1955,Ordet - La parola (Ordet),Carl Theodor Dreyer,Danimarca
1957,Aparajito,Satyajit Ray,India
1958,L'uomo del risciò (Muhomatsu No Issho),Hiroshi Inagaki,Giappone
1959,La grande guerra,Mario Monicelli,Italia
1959,Il generale Della Rovere,Roberto Rossellini,Italia
1960,Il passaggio del Reno (Le passage du Rhin),André Cayatte,Francia
1961,L'anno scorso a Marienbad (L'année dernière à Marienbad),Alain Resnais,Francia
1962,Cronaca familiare,Valerio Zurlini,Italia
1962,L'infanzia di Ivan (Ivanovo Detsvo),Andrej Tarkovskij,URSS
1963,Le mani sulla città,Francesco Rosi,Italia
1964,Deserto rosso,Michelangelo Antonioni,Italia
1965,Vaghe stelle dell'Orsa...,Luchino Visconti,Italia
1966,La battaglia di Algeri,Gillo Pontecorvo,Italia/ Algeria
1967,Bella di giorno (Belle de jour),Luis Buñuel,Francia
1968,Artisti sotto la tenda del circo: perplessi (Die Artisten in der Zirkuskuppel: ratlos),Alexander Kluge,Germania Ovest
1980,"Atlantic City, USA",Louis Malle,Stati Uniti
1980,Una notte d'estate - Gloria (Gloria),John Cassavetes,Stati Uniti
1981,Anni di piombo (Die bleierne Zeit),Margarethe von Trotta,Germania Ovest
1982,Lo stato delle cose (Der Stand der Dinge),Wim Wenders,Germania Ovest
1983,Prénom Carmen (Prénom Carmen),Jean-Luc Godard,Francia
1984,L'anno del sole quieto (Rok spokojnego słońca),Krzysztof Zanussi,Polonia
1985,Senza tetto né legge (Sans toit ni loi),Agnès Varda,Francia
1986,Il raggio verde (Le rayon vert),Éric Rohmer,Francia
1987,Arrivederci ragazzi (Au revoir les enfants),Louis Malle,Francia
1988,La leggenda del santo bevitore,Ermanno Olmi,Italia
1989,Città dolente (Beiqing chengshi),Hou Hsiao-hsien,Taiwan
1990,Rosencrantz e Guildenstern sono morti (Rosenkrantz And Guildenstern Are Dead),Tom Stoppard,Regno Unito
1991,Urga - Territorio d'amore (Urga),Nikita Mikhalkov,URSS
1992,La storia di Qiu Ju (Qui Ju da guansi),Zhang Yimou,Cina
1993,America oggi (Short Cuts),Robert Altman,Stati Uniti
1993,Tre colori - Film blu (Trois couleurs: Bleu),Krzysztof Kieślowski,Francia/ Polonia
1994,Vive L'Amour (Aiqing Wansui),Tsai Ming-liang,Taiwan
1994,Prima della pioggia (Pred doždot),Milčo Mančevski,Macedonia
1995,Cyclo (Xich-lo),Tran Anh Hung,Vietnam
1996,Michael Collins,Neil Jordan,Regno Unito
1997,Hana-bi - Fiori di fuoco (Hana-bi),Takeshi Kitano,Giappone
1998,Così ridevano,Gianni Amelio,Italia
1999,Non uno di meno (Yi ge dou bu neng shao),Zhang Yimou,Cina
2000,Il cerchio (Dayereh),Jafar Panahi,Iran
2001,Monsoon Wedding - Matrimonio indiano (Monsoon Wedding),Mira Nair,India
2002,Magdalene (The Magdalene Sisters),Peter Mullan,Irlanda
2003,Il ritorno (Vozvrašcenje),Andrei Zviagintsev,Russia
2004,Il segreto di Vera Drake (Vera Drake),Mike Leigh,Regno Unito
2005,I segreti di Brokeback Mountain (Brokeback Mountain),Ang Lee,Stati Uniti
2006,Still Life (Sanxia haoren),Jia Zhangke,Cina
2007,"Lussuria - Seduzione e tradimento (Se, jie)",Ang Lee,Stati Uniti/ Cina/ Taiwan
2008,The Wrestler,Darren Aronofsky,Stati Uniti
2009,Lebanon,Samuel Maoz,Israele
2010,Somewhere,Sofia Coppola,Stati Uniti
2011,Faust,Aleksandr Sokurov,Russia
2012,Pietà (Pieta),Kim Ki-duk,Corea del Sud
2013,Sacro GRA,Gianfranco Rosi,Italia
2014,Un piccione seduto su un ramo riflette sull'esistenza (En duva satt på en gren och funderade på tillvaron),Roy Andersson,Svezia
2015,Ti guardo (Desde allá),Lorenzo Vigas,Venezuela
2016,The Woman Who Left - La donna che se ne è andata (Ang babaeng humayo),Lav Diaz,Filippine
2017,La forma dell'acqua - The Shape of Water (The Shape of Water),Guillermo del Toro,Stati Uniti
2018,Roma,Alfonso Cuarón,Messico
